place_id,name,rating,reviews,main_category,workday_timing
ChIJA9NYqujTpw0R70ZCFsw5uW4,Corporate Business Center,4.5,4,Coworking space,9 AM–5 PM
ChIJwxxNmJLNpw0RlSg1OX2dz5s,MY DESK BUSINESS CENTER,4.9,32,Business center,Open 24 hours
ChIJz67AKZbSpw0R0jRhFAC3KK0,Palmier Business Center,4.4,94,Business center,8:30 AM–6:30 PM
ChIJdQCgi4_Tpw0R2MDlgzOjnGU,El Patio Coworking,0.0,0,Coworking space,Open 24 hours
ChIJKePdkJPSpw0R7ihPfhmTKaI,CASANOSTRA,3.1,7,Coworking space,8:30 AM–7 PM
ChIJa5MaH0ktpg0RjzcX7SoYywA,FlexiDesk - Coworking,2.5,2,Coworking space,9 AM–7:30 PM
ChIJ4XDBTWHNpw0R5GfPZJOM8CY,Ness business center,5.0,2,Coworking space,9 AM–6:30 PM
ChIJzUYJU4rTpw0RZkHwRIcDyyg,Spotbusiness,4.6,34,Business center,9 AM–6 PM
ChIJcxsvKRPTpw0RiMv_AF14YRE,KOFISI Casa Anfa,5.0,2,Coworking space,8 AM–6 PM
ChIJ_7LpVqYtpg0RmxCJyaF0xWA,"Regus - Casablanca, Zenith",4.8,18,Office space rental agency,Open 24 hours
ChIJ9c1NAurTpw0RTwHY540_Q6E,"Regus - Casablanca, Casa Twin Tower Centre 2",4.4,8,Office space rental agency,Open 24 hours
ChIJ86En1pDSpw0RgxVSkipWJl0,IMPACT Lab,4.1,18,Corporate office,9 AM–7 PM
ChIJSz1mt5nSpw0RrHRvzL_NXo8,Espace Coworking,0.0,0,Corporate office,9 AM–6 PM
ChIJ7f2-GgDNpw0Rfm9Jdgr9mxk,Derb omar,4.0,3,Coworking space,
ChIJjWarI-XTpw0RzAd484QepRk,Anfa Office Club,5.0,15,Business center,9 AM–6:30 PM
ChIJN7z2_ezSpw0RICDjua6VQFc,BIZ JAHIZ,4.7,12,Business center,8:30 AM–7:30 PM
ChIJ919JOY_Tpw0RdGxwHvuudi4,Françaissauveur,0.0,0,Coworking space,9 AM–7 PM
ChIJdXg-J0jNpw0RWbTedGkh_EY,INTERFACE OFFICE SPACE,5.0,3,Real estate appraiser,9 AM–6 PM
ChIJ-bz3KBItpg0R4TF82uLQiBA,كازاشور 1 الدار البيضاء,4.6,11,Office space rental agency,Open 24 hours
ChIJZSc1MF_Tpw0R8v1WMktYHpg,Bourgogne CORNER,5.0,4,Apartment complex,
ChIJk7-ztuHTpw0R-AGa56BYe5U,Smart Digital Space • Casablabca,0.0,0,Coworking space,
ChIJI7r0icEtpg0RtHu3loF2xlE,Commons @ Afriquia-Lissasfa,4.9,15,Coworking space,Open 24 hours
ChIJSYDgArLTpw0Rzx3HwDxcY-E,Regus CIL Harmony,5.0,1,Office space rental agency,Open 24 hours
ChIJqUJd7-nTpw0RPGSHinTCQrM,Arts Corners,0.0,0,Coworking space,9 AM–7 PM
ChIJ1Q_TKyHLpw0RqyDPXm9NVw0,Centre Copie GodiTrans,0.0,0,Coworking space,
ChIJzbDXddktpg0RTT7-nXqvR2g,Cultural Space Coffee,3.8,60,Cafe,7 AM–9:30 PM
ChIJww2JFTwtpg0RqHjVA8mR1X8,تكنوبارك,4.1,997,Business center,Open 24 hours
ChIJh4xVRmzTpw0RRYPb_E1tdQM,Nexus Location salle de reunion et formation,0.0,0,Coworking space,Open 24 hours
ChIJiVKjve7Spw0RPEwDrOZgGxY,La Maison de l'Entrepreneur,4.3,4,Business to business service,9 AM–5:30 PM
ChIJXchZLwAtpg0RlfC_JsRPy7Q,Espace Jet Business Class,5.0,1,Corporate office,
ChIJm-Idg23Npw0RQ2Vb963C24A,Friend's Space,3.8,36,Cafe,6 AM–10 PM
ChIJsfZWXZTTpw0RcuVkRG1N2eI,Papers Club Casablanca,4.4,470,Cafe,7:30 AM–10 PM
ChIJ1eVZnfgtpg0RaSM3yVdqISg,Theater,0.0,0,Coworking space,
ChIJqx3PIActpg0RSiikYzacTK0,My DESK BUSINESS CENTER,4.6,56,Business center,8:30 AM–6 PM
ChIJp8lJw5LSpw0Raenq1E2h08g,Office Space Jean Jaurès,5.0,1,Mailbox rental service,8:30 AM–6 PM
ChIJNQih7sbSpw0RicXOsd_JdhY,Bidaya,4.4,48,Non-governmental organization,9 AM–6 PM
ChIJ5V_ofwrTpw0RAOXompSQnm4,THE CLOUD COFFEE LAB,4.7,92,Espresso bar,9 AM–9 PM
ChIJy9MhegTTpw0RMhlBm-V7Kd4,BusinessCenter.Com,5.0,2,Business center,8:30 AM–5:30 PM
ChIJQTqTWwDTpw0RPUxT5nmWcfU,Work,0.0,0,Coworking space,
ChIJUTGkx7otpg0RF2hyXnl9AjU,Green Works Center,4.4,30,Office space rental agency,Open 24 hours
ChIJbcoPAj0tpg0RdkkpMjz9AdQ,ZENITH CENTER,4.1,142,Business center,8:30 AM–6 PM
